Title,Artist,Link bài hát,Link .m4a,Link .mp3
GOOD BOY,G-Dragon; Taeyang,https://chiasenhac.vn/mp3/g-dragontaeyang/good-boy-tsvrsrmwqa4a89.html,https://data19.chiasenhac.com/downloads/2023/3/2022434-c41ed987/32/GOOD%20BOY%20-%20G-Dragon_%20Taeyang.m4a,https://data19.chiasenhac.com/downloads/2023/3/2022434-c41ed987/128/GOOD%20BOY%20-%20G-Dragon_%20Taeyang.mp3
Falling U,T-Ara,https://chiasenhac.vn/mp3/t-ara/falling-u-tsvc0z65qvn1kh.html,https://data38.chiasenhac.com/downloads/1911/3/1910086-d91bcf70/32/Falling%20U%20-%20T-Ara.m4a,https://data38.chiasenhac.com/downloads/1911/3/1910086-d91bcf70/128/Falling%20U%20-%20T-Ara.mp3
That’s How We Ended Up,Giriboy; Seori,https://chiasenhac.vn/mp3/giriboy-seori/thats-how-we-ended-up-tsv7mtdsqt8fm4.html,https://data25.chiasenhac.com/download2/2202/3/2201303-c74f94a2/32/That___s%20How%20We%20Ended%20Up%20-%20Giriboy_%20Seor.m4a,https://data25.chiasenhac.com/download2/2202/3/2201303-c74f94a2/128/That___s%20How%20We%20Ended%20Up%20-%20Giriboy_%20Seor.mp3
Hot Summer,F(x),https://chiasenhac.vn/mp3/fx/hot-summer-ts3wz0vdq91n2m.html,https://data52.chiasenhac.com/downloads/1055/3/1054334-a70958a6/32/Hot%20Summer%20-%20F_x_.m4a,https://data52.chiasenhac.com/downloads/1055/3/1054334-a70958a6/128/Hot%20Summer%20-%20F_x_.mp3
Chu~♥,F(x),https://chiasenhac.vn/mp3/fx/chu-ts3wz0v0q91n2n.html,https://data52.chiasenhac.com/downloads/1055/3/1054347-c8625bdf/32/Chu____%20-%20F_x_.m4a,https://data52.chiasenhac.com/downloads/1055/3/1054347-c8625bdf/128/Chu____%20-%20F_x_.mp3
Radio,Henry,https://chiasenhac.vn/mp3/henry/radio-tsvmwdvzq89m21.html,https://data3.chiasenhac.com/downloads/2133/3/2132362-b5f9fe0a/32/Radio%20-%20Henry.m4a,https://data3.chiasenhac.com/downloads/2133/3/2132362-b5f9fe0a/128/Radio%20-%20Henry.mp3
Shower,Eric Nam,https://chiasenhac.vn/mp3/eric-nam/shower-tsvqttb0qeffqn.html,https://data2.chiasenhac.com/stream2/1714/3/1713915-030bb3ce/32/Shower%20-%20Eric%20Nam.m4a,https://data2.chiasenhac.com/stream2/1714/3/1713915-030bb3ce/128/Shower%20-%20Eric%20Nam.mp3
Life Is Still Going On,NCT Dream,https://chiasenhac.vn/mp3/nct-dream/life-is-still-going-on-tsv7qrwrqtea9a.html,https://data.chiasenhac.com/down2/2179/3/2178065-a26e44e7/32/Life%20Is%20Still%20Going%20On%20-%20NCT%20Dream.m4a,https://data.chiasenhac.com/down2/2179/3/2178065-a26e44e7/128/Life%20Is%20Still%20Going%20On%20-%20NCT%20Dream.mp3
My Love,Honey-G,https://chiasenhac.vn/mp3/honey-g/my-love-tsvqttbzqeffq1.html,https://data2.chiasenhac.com/stream2/1714/3/1713914-725cef35/32/My%20Love%20-%20Honey-G.m4a,https://data2.chiasenhac.com/stream2/1714/3/1713914-725cef35/128/My%20Love%20-%20Honey-G.mp3
Day By Day,T-Ara,https://chiasenhac.vn/mp3/t-ara/day-by-day-ts3wbcsbq9qv4q.html,https://data51.chiasenhac.com/downloads/1011/3/1010272-5f4f0262/32/Day%20By%20Day%20-%20T-Ara.m4a,https://data51.chiasenhac.com/downloads/1011/3/1010272-5f4f0262/128/Day%20By%20Day%20-%20T-Ara.mp3
