Title,Artist,Link bài hát,Link .m4a,Link .mp3
Quechua (Extended Mix),Quintino; Thomas Gold,https://chiasenhac.vn/mp3/quintino-thomas-gold/quechua-extended-mix-tsv7mccmqt8vv8.html,https://data25.chiasenhac.com/download2/2203/3/2202083-bfcd0369/32/Quechua%20Extended%20Mix_%20-%20Quintino_%20Thomas.m4a,https://data25.chiasenhac.com/download2/2203/3/2202083-bfcd0369/128/Quechua%20Extended%20Mix_%20-%20Quintino_%20Thomas.mp3
One Way Ticket,Boney M,https://chiasenhac.vn/mp3/boney-m/one-way-ticket-ts3zcsr0q1v4an.html,https://data22.chiasenhac.com/downloads/1533/3/1532427-052fff96/32/One%20Way%20Ticket%20-%20Boney%20M.m4a,https://data22.chiasenhac.com/downloads/1533/3/1532427-052fff96/128/One%20Way%20Ticket%20-%20Boney%20M.mp3
Good For You,Selena Gomez,https://chiasenhac.vn/mp3/selena-gomez/good-for-you-tsvq735qqetwhe.html,https://data3.chiasenhac.com/downloads/1750/3/1749837-453aae4f/32/Good%20For%20You%20-%20Selena%20Gomez.m4a,https://data3.chiasenhac.com/downloads/1750/3/1749837-453aae4f/128/Good%20For%20You%20-%20Selena%20Gomez.mp3
Remember The Time,Michael Jackson,https://chiasenhac.vn/mp3/michael-jackson/remember-the-time-ts3wdcb7q9mvqt.html,https://data51.chiasenhac.com/downloads/1002/3/1001972-a5756fc8/32/Remember%20The%20Time%20-%20Michael%20Jackson.m4a,https://data51.chiasenhac.com/downloads/1002/3/1001972-a5756fc8/128/Remember%20The%20Time%20-%20Michael%20Jackson.mp3
Ocean,Martin Garrix; Khalid,https://chiasenhac.vn/mp3/martin-garrix-khalid/ocean-tsvbdt0wqqmfn9.html,https://data38.chiasenhac.com/downloads/1919/3/1918882-db29d60a/32/Ocean%20-%20Martin%20Garrix_%20Khalid.m4a,https://data38.chiasenhac.com/downloads/1919/3/1918882-db29d60a/128/Ocean%20-%20Martin%20Garrix_%20Khalid.mp3
Black Or White,Michael Jackson,https://chiasenhac.vn/mp3/michael-jackson/black-or-white-ts3wdcc0q9mvvn.html,https://data51.chiasenhac.com/downloads/1002/3/1001963-962a14f8/32/Black%20Or%20White%20-%20Michael%20Jackson.m4a,https://data51.chiasenhac.com/downloads/1002/3/1001963-962a14f8/128/Black%20Or%20White%20-%20Michael%20Jackson.mp3
Oops,Little Mix; Charlie Puth,https://chiasenhac.vn/mp3/little-mix-charlie-puth/oops-tsvqwv3zqe92w1.html,https://data3.chiasenhac.com/downloads/1742/3/1741946-e19e342e/32/Oops%20-%20Little%20Mix_%20Charlie%20Puth.m4a,https://data3.chiasenhac.com/downloads/1742/3/1741946-e19e342e/128/Oops%20-%20Little%20Mix_%20Charlie%20Puth.mp3
No Promises,Shayne Ward,https://chiasenhac.vn/mp3/shayne-ward/no-promises-ts3wdd7tq9mmtf.html,https://data51.chiasenhac.com/downloads/1002/3/1001772-ff527a06/32/No%20Promises%20-%20Shayne%20Ward.m4a,https://data51.chiasenhac.com/downloads/1002/3/1001772-ff527a06/128/No%20Promises%20-%20Shayne%20Ward.mp3
I Do,911,https://chiasenhac.vn/mp3/911/i-do-ts37wbz6qt9q1k.html,https://data56.chiasenhac.com/downloads/1150/3/1149845-f6a0a9fc/32/I%20Do%20-%20911.m4a,https://data56.chiasenhac.com/downloads/1150/3/1149845-f6a0a9fc/128/I%20Do%20-%20911.mp3
Until You,Shayne Ward,https://chiasenhac.vn/mp3/shayne-ward/until-you-ts37cr6cqtvakv.html,https://data55.chiasenhac.com/downloads/1138/3/1137727-c94754f0/32/Until%20You%20-%20Shayne%20Ward.m4a,https://data55.chiasenhac.com/downloads/1138/3/1137727-c94754f0/128/Until%20You%20-%20Shayne%20Ward.mp3
Swamp Thing,Pegboard Nerds,https://chiasenhac.vn/mp3/pegboard-nerds/swamp-thing-ts3zmz6wq181k9.html,https://data23.chiasenhac.com/downloads/1550/3/1549634-71021c29/32/Swamp%20Thing%20-%20Pegboard%20Nerds.m4a,https://data23.chiasenhac.com/downloads/1550/3/1549634-71021c29/128/Swamp%20Thing%20-%20Pegboard%20Nerds.mp3
Wind Of Change,Scorpions,https://chiasenhac.vn/mp3/scorpions/wind-of-change-ts3wc7m6q9vt8k.html,https://data51.chiasenhac.com/downloads/1008/3/1007397-bca70101/32/Wind%20Of%20Change%20-%20Scorpions.m4a,https://data51.chiasenhac.com/downloads/1008/3/1007397-bca70101/128/Wind%20Of%20Change%20-%20Scorpions.mp3
Popo (How Deep Is Our Love?),Yerin Baek,https://chiasenhac.vn/mp3/yerin-baek/popo-how-deep-is-our-love-tsvwdsw3q9m49w.html,https://data20.chiasenhac.com/downloads/2053/3/2052632-5429f3fa/32/Popo%20How%20Deep%20Is%20Our%20Love__%20-%20Yerin%20Baek.m4a,https://data20.chiasenhac.com/downloads/2053/3/2052632-5429f3fa/128/Popo%20How%20Deep%20Is%20Our%20Love__%20-%20Yerin%20Baek.mp3
Gone,Lawson,https://chiasenhac.vn/mp3/lawson/gone-ts3mdqs0q8me4n.html,https://data53.chiasenhac.com/downloads/1068/3/1067115-70f49bf0/32/Gone%20-%20Lawson.m4a,https://data53.chiasenhac.com/downloads/1068/3/1067115-70f49bf0/128/Gone%20-%20Lawson.mp3
